code,region,pop
1101053,사직동,418
1101054,삼청동,112
1101055,부암동,458
1101056,평창동,429
1101057,무악동,102
1101058,교남동,326
1101060,가회동,146
1101061,종로1·2·3·4가동,753
1101063,종로5·6가동,614
1101064,이화동,774
1101067,창신1동,1283
1101068,창신2동,1874
1101069,창신3동,319
1101070,숭인1동,527
1101071,숭인2동,838
1101072,청운효자동,204
1101073,혜화동,3433
1102052,소공동,408
1102054,회현동,629
1102055,명동,500
1102057,필동,969
1102058,장충동,1136
1102059,광희동,1693
1102060,을지로동,189
1102065,신당5동,706
1102067,황학동,1587
1102068,중림동,468
1102069,신당동,2336
1102070,다산동,877
1102071,약수동,477
1102072,청구동,386
1102073,동화동,372
1103051,후암동,835
1103052,용산2가동,1449
1103053,남영동,690
1103057,원효로2동,256
1103058,효창동,194
1103059,용문동,234
1103063,이촌1동,1468
1103064,이촌2동,228
1103065,이태원1동,2174
1103066,이태원2동,1690
1103069,서빙고동,859
1103070,보광동,1985
1103071,청파동,1093
1103072,원효로1동,702
1103073,한강로동,2058
1103074,한남동,3190
1104052,왕십리2동,644
1104054,마장동,1160
1104055,사근동,2056
1104056,행당1동,529
1104057,행당2동,228
1104058,응봉동,150
1104059,금호1가동,253
1104062,금호4가동,444
1104065,성수1가1동,633
1104066,성수1가2동,576
1104067,성수2가1동,1139
1104068,성수2가3동,501
1104069,송정동,784
1104070,용답동,1563
1104071,왕십리도선동,985
1104072,금호2·3가동,464
1104073,옥수동,777
1105053,화양동,3865
1105054,군자동,2890
1105055,중곡1동,735
1105056,중곡2동,747
1105057,중곡3동,553
1105058,중곡4동,754
1105059,능동,440
1105060,구의1동,1246
1105061,구의2동,852
1105062,구의3동,638
1105063,광장동,376
1105064,자양1동,1881
1105065,자양2동,857
1105066,자양3동,665
1105067,자양4동,6372
1106071,회기동,2759
1106072,휘경1동,2237
1106073,휘경2동,1097
1106080,청량리동,1095
1106081,용신동,2391
1106082,제기동,2937
1106083,전농1동,950
1106084,전농2동,591
1106086,답십리2동,625
1106087,장안1동,1111
1106088,장안2동,733
1106089,이문1동,3727
1106090,이문2동,844
1106091,답십리1동,737
1107052,면목2동,694
1107054,면목4동,646
1107055,면목5동,270
1107057,면목7동,646
1107059,상봉1동,357
1107060,상봉2동,702
1107061,중화1동,374
1107062,중화2동,1075
1107064,묵1동,427
1107065,묵2동,481
1107068,망우3동,717
1107069,신내1동,365
1107070,신내2동,201
1107071,면목본동,1615
1107072,면목3·8동,816
1107073,망우본동,719
1108058,돈암1동,198
1108059,돈암2동,263
1108060,안암동,2117
1108061,보문동,656
1108062,정릉1동,291
1108063,정릉2동,420
1108064,정릉3동,1888
1108065,정릉4동,662
1108066,길음1동,411
1108068,길음2동,266
1108071,월곡1동,496
1108072,월곡2동,858
1108076,장위1동,425
1108077,장위2동,462
1108078,장위3동,363
1108081,성북동,712
1108082,삼선동,852
1108083,동선동,845
1108084,종암동,2245
1108085,석관동,1574
1109060,번1동,740
