code,region,pop
11,서울특별시,9509458
11110,종로구,144683
11140,중구,122499
11170,용산구,222953
11200,성동구,285990
11215,광진구,339996
11230,동대문구,337400
11260,중랑구,387350
11290,성북구,430528
11305,강북구,299182
11320,도봉구,317366
11350,노원구,510956
11380,은평구,473307
11410,서대문구,304819
11440,마포구,368905
11470,양천구,447302
11500,강서구,574315
11530,구로구,396754
11545,금천구,230811
11560,영등포구,376837
11590,동작구,385483
11620,관악구,485699
11650,서초구,412279
11680,강남구,533042
11710,송파구,658338
11740,강동구,462664
26,부산광역시,3350380
26110,중구,40524
26140,서구,105164
26170,동구,87679
26200,영도구,110638
26230,부산진구,353159
26260,동래구,266866
26290,남구,262069
26320,북구,283211
26350,해운대구,396438
26380,사하구,306003
26410,금정구,228049
26440,강서구,142918
26470,연제구,207144
26500,수영구,175095
26530,사상구,208298
26710,기장군,177125
27,대구광역시,2385412
27110,중구,74791
27140,동구,341436
27170,서구,164528
27200,남구,143175
27230,북구,437008
27260,수성구,417097
27290,달서구,544926
27710,달성군,262451
28,인천광역시,2948375
28110,중구,143633
28140,동구,61486
28177,미추홀구,407464
28185,연수구,389644
28200,남동구,518272
28237,부평구,486765
28245,계양구,295696
28260,서구,555380
28710,강화군,69693
28720,옹진군,20342
29,광주광역시,1441611
29110,동구,103470
29140,서구,291231
29155,남구,215575
29170,북구,427114
29200,광산구,404221
30,대전광역시,1452251
30110,동구,222222
30140,중구,230341
30170,서구,473365
30200,유성구,351277
30230,대덕구,175046
31,울산광역시,1121592
31110,중구,212883
31140,남구,313819
31170,동구,154096
31200,북구,218735
31710,울주군,222059
36,세종특별자치시,371895
36110,세종시,371895
41,경기도,13565450
41110,수원시,1183714
41111,장안구,273835
41113,권선구,364136
41115,팔달구,182321
41117,영통구,363422
41130,성남시,930948
41131,수정구,235988
41133,중원구,210777
41135,분당구,484183
41150,의정부시,463661
41170,안양시,547178
41171,만안구,238311
41173,동안구,308867
41190,부천시,806067
41210,광명시,292893
41220,평택시,564288
41250,동두천시,93592
41270,안산시,652726
41271,상록구,350668
41273,단원구,302058
41280,고양시,1079353
41281,덕양구,482927
41285,일산동구,298873
41287,일산서구,297553
41290,과천시,73345
41310,구리시,191948
41360,남양주시,733798
41370,오산시,229983
41390,시흥시,512030
41410,군포시,268535
41430,의왕시,163356
41450,하남시,320087
41460,용인시,1077508
41461,처인구,260198
41463,기흥구,441742
41465,수지구,375568
41480,파주시,483245
41500,이천시,223177
41550,안성시,189534
41570,김포시,486508
41590,화성시,887015
41610,광주시,387289
41630,양주시,236368
41650,포천시,148939
41670,여주시,112150
41800,연천군,42721
41820,가평군,62264
41830,양평군,121230
42,강원도,1538492
42110,춘천시,284594
42130,원주시,357757
42150,강릉시,212965
42170,동해시,90081
42190,태백시,40844
42210,속초시,82791
42230,삼척시,63429
42720,홍천군,68365
42730,횡성군,46481
42750,영월군,37904
42760,평창군,40996
42770,정선군,35675
42780,철원군,43340
42790,화천군,24195
42800,양구군,21748
42810,인제군,32165
42820,고성군,27249
42830,양양군,27913
43,충청북도,1597427
43110,청주시,848482
43112,서원구,192899
43114,청원구,194327
43111,상당구,193827
43113,흥덕구,267429
43130,충주시,209358
43150,제천시,131591
43720,보은군,31878
43730,옥천군,50093
43740,영동군,45773
43745,증평군,36426
43750,진천군,85176
43760,괴산군,38122
43770,음성군,92197
43800,단양군,28331
44,충청남도,2119257
44270,당진시,167092
44130,천안시,658486
44131,동남구,255292
44133,서북구,403194
44150,공주시,103145
44180,보령시,98408
44200,아산시,324580
44210,서산시,176645
44230,논산시,114483
44250,계룡시,43331
44710,금산군,50477
44760,부여군,63774
44770,서천군,50745
44790,청양군,30440
44800,홍성군,99324
44810,예산군,76801
44825,태안군,61526
45,전라북도,1786855
45110,전주시,657269
45111,완산구,335804
45113,덕진구,321465
45130,군산시,265304
45140,익산시,278113
45180,정읍시,106487
45190,남원시,79431
45210,김제시,80913
45710,완주군,91142
45720,진안군,24987
45730,무주군,23748
45740,장수군,21695
45750,임실군,26730
45770,순창군,26855
45790,고창군,53386
45800,부안군,50795
46,전라남도,1832803
46110,목포시,218589
46130,여수시,276762
46150,순천시,281436
46170,나주시,116726
46230,광양시,150531
46710,담양군,46180
46720,곡성군,27535
46730,구례군,25235
46770,고흥군,62762
46780,보성군,39375
46790,화순군,62624
46800,장흥군,36547
46810,강진군,33753
46820,해남군,67166
46830,영암군,52937
46840,무안군,91107
46860,함평군,31274
46870,영광군,51985
46880,장성군,43365
46890,완도군,48631
46900,진도군,30066
46910,신안군,38217
47,경상북도,2626609
47110,포항시,503852
47111,남구,230801
47113,북구,273051
47130,경주시,251889
47150,김천시,140239
47170,안동시,156972
47190,구미시,412581
47210,영주시,101942
47230,영천시,101888
47250,상주시,95566
47280,문경시,71154
47290,경산시,268369
47720,군위군,22945
47730,의성군,50632
47750,청송군,24539
47760,영양군,16320
47770,영덕군,35314
47820,청도군,41891
47830,고령군,30626
47840,성주군,42842
47850,칠곡군,113822
47900,예천군,55739
47920,봉화군,30762
47930,울진군,47858
47940,울릉군,8867
48,경상남도,3314183
48120,창원시,1032741
48121,의창구,218027
48123,성산구,251562
48125,마산합포구,181322
48127,마산회원구,186881
48129,진해구,194949
48170,진주시,347097
48220,통영시,125383
48240,사천시,109953
48250,김해시,537673
48270,밀양시,103525
48310,거제시,241216
48330,양산시,354726
48720,의령군,26322
48730,함안군,62547
48740,창녕군,60129
48820,고성군,50478
48840,남해군,42266
48850,하동군,43449
48860,산청군,34360
48870,함양군,38310
48880,거창군,61073
48890,합천군,42935
50,제주특별자치도,676759
50110,제주시,493096
50130,서귀포시,183663
